tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
652,2018-07-10 07:06:54.504000,2018-07-10 07:17:47.392000,150,State Street at Channel Center,42.344137,-71.052608,23,Boston City Hall - 28 State St,42.35892,-71.057629,2592,Subscriber,1961,2
740,2018-07-10 17:11:13.322000,2018-07-10 17:23:34.146000,23,Boston City Hall - 28 State St,42.35892,-71.057629,150,State Street at Channel Center,42.344137,-71.052608,407,Subscriber,1961,2
625,2018-07-12 07:00:09.644000,2018-07-12 07:10:34.754000,150,State Street at Channel Center,42.344137,-71.052608,23,Boston City Hall - 28 State St,42.35892,-71.057629,2641,Subscriber,1961,2
616,2018-07-12 16:53:45.150000,2018-07-12 17:04:01.894000,23,Boston City Hall - 28 State St,42.35892,-71.057629,150,State Street at Channel Center,42.344137,-71.052608,1245,Subscriber,1961,2
601,2018-07-16 07:17:02.707000,2018-07-16 07:27:04.638000,150,State Street at Channel Center,42.344137,-71.052608,23,Boston City Hall - 28 State St,42.35892,-71.057629,2128,Subscriber,1961,2
775,2018-07-16 17:08:44.184000,2018-07-16 17:21:39.449000,23,Boston City Hall - 28 State St,42.35892,-71.057629,150,State Street at Channel Center,42.344137,-71.052608,2032,Subscriber,1961,2
552,2018-07-17 07:13:49.345000,2018-07-17 07:23:02.009000,150,State Street at Channel Center,42.344137,-71.052608,23,Boston City Hall - 28 State St,42.35892,-71.057629,1319,Subscriber,1961,2
1017,2018-07-17 17:19:49.086000,2018-07-17 17:36:46.327000,23,Boston City Hall - 28 State St,42.35892,-71.057629,150,State Street at Channel Center,42.344137,-71.052608,2584,Subscriber,1961,2
640,2018-07-19 06:47:43.586000,2018-07-19 06:58:24.531000,150,State Street at Channel Center,42.344137,-71.052608,152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,1135,Subscriber,1959,2
728,2018-07-19 08:08:27.107000,2018-07-19 08:20:35.359000,152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,150,State Street at Channel Center,42.344137,-71.052608,2420,Subscriber,1959,2
632,2018-07-19 06:48:30.672000,2018-07-19 06:59:02.681000,150,State Street at Channel Center,42.344137,-71.052608,23,Boston City Hall - 28 State St,42.35892,-71.057629,3263,Subscriber,1961,2
